"opr.id.md5","m.call","call.sd","start.dt","last.dt","days","l_s"
"56A5561AB2B859F0573F3A2C82605C50",74.6666666666667,60.1858233584399,"2014-11-09","2015-03-14",3,126
"C52AF4B08433E2E745016A6DB7FCA4FD",74.6228070175439,18.5049098248585,"2014-10-01","2015-03-31",114,182
"03680759872185D7DCE451AAD72960AB",74.4782608695652,17.7360510182178,"2014-10-01","2015-03-31",115,182
"E09B3D94F26751FE5AB9629A1ABB58E8",73.6666666666667,23.4591844132172,"2014-11-29","2015-01-10",3,43
"A335BBA500508B0E0493832838B358A9",73.2666666666667,29.1493513595875,"2014-12-05","2015-03-31",75,117
"66C15E111A142F903A343C725EE768AC",73,24.8750259757298,"2014-10-01","2015-03-31",134,182
"386A63D1D7C839AA4FC0DFB1A7679378",72.6293103448276,31.4583313558452,"2014-10-01","2015-03-31",116,182
"23024265487CB0E20856E9D92B35A6C7",72.575,66.3494584832886,"2014-10-18","2015-03-29",40,163
"F6704F6E1FE3606027A07DD751190E2D",71.8416666666667,28.9151165238087,"2014-10-01","2015-03-31",120,182
"89AD62D8943967DE032C969A855DDBBC",71.7543859649123,38.5010578248713,"2014-12-25","2015-03-31",57,97
"C5B0374732759EBD19BFB42FD323D4E1",71.319587628866,38.7297114606884,"2014-10-01","2015-03-31",97,182
"6D35F33A4FBBFB2628157AF60A518718",70.5,74.2462120245875,"2015-01-25","2015-03-14",2,49
"0B7AA7B575E6C3FBF151BCCC75EC6343",69.9431818181818,38.496859986759,"2014-11-17","2015-03-31",88,135
"ED2D01FD2397AECAE079E8E7F46801C8",65.4545454545455,29.5850084886371,"2014-11-22","2015-03-14",11,113
"BCBDFDCD77BAFEA26CAE457D01863568",65.1666666666667,70.0782895529469,"2014-12-13","2015-03-27",6,105
"95398FBAFC39D738F5676A0A40D0BD5D",64.7538461538462,26.2369198180438,"2014-12-17","2015-03-31",65,105
"F80C8D4763068B504101E53FAE4551B9",64.3883495145631,41.9851124430676,"2014-10-01","2015-03-25",103,176
"B49DE08D2380D8AC597B3ED1863D9C40",64.15,42.8955585972303,"2014-10-18","2015-03-30",20,164
"EFE0EC0B30B393A8BEE6D38C1819B0B4",61.8829787234043,31.097784169923,"2014-11-05","2015-03-31",94,147
"A1B80B6FCBA0F27125E07F16205184BE",61.1754385964912,31.7145023118065,"2014-10-01","2015-03-30",114,181
"80E86AF05F8C4C6A3664D7BE56E92C71",61,79.1959594928933,"2014-10-05","2014-10-06",2,2
"6A9673C8113AEB08D1FA95A8D1E2F97E",60.9736842105263,13.5897283740303,"2014-10-01","2015-03-31",114,182
"3B9D970C6F209AACC8D81E767E28E331",60.2946428571429,15.1607829748942,"2014-10-01","2015-03-31",112,182
"AC7793D60B9A4EC20137A8D7229ABCA1",58.6413043478261,41.6174576433684,"2014-10-01","2015-03-31",92,182
"D7FBA716F9D95EFD9A04D2E5AF2C3656",57.6842105263158,25.9127367294933,"2014-12-25","2015-03-31",57,97
"09AF590616649E1230921B322994F5F1",54.2539682539683,20.0233478670633,"2014-10-01","2014-12-31",63,92
"0F4491B9850CABE215210443ECEE05E8",53.9333333333333,13.1880176495108,"2014-10-27","2014-11-17",15,22
"56531CA6B53F96F254CB0E0632F02358",52.8235294117647,44.1747033013772,"2014-10-13","2015-03-01",17,140
"D39FF6A2B2691412E8D6C290C3844D5E",50.8484848484849,26.9201611391458,"2014-12-04","2015-01-21",33,49
"4BF243EED50E9992AD05789319F1DB11",48.8363636363636,34.633739521759,"2014-10-01","2015-03-31",110,182
"F7EFDA867ABA0E1326AD26B0A8D49270",46.6666666666667,8.62561185893516,"2014-10-01","2015-03-31",114,182
"577C02A848D28289886B9B135EE5AACE",46.1637931034483,17.4540111077118,"2014-10-01","2015-03-31",116,182
"ADB6E41196FA5DAF18D77B3F5D4F9E4B",45.6434782608696,18.0803233670953,"2014-10-03","2015-03-31",115,180
"BBB06AAE611C3FCF215C51AD59743D11",44.990990990991,40.0482653115407,"2014-10-02","2015-03-31",111,181
"A14B20B7D95E2A567856C73D6CD430F4",44.7959183673469,43.637910120254,"2014-10-01","2015-03-31",98,182
"70F6017F2FE7F255B9B0B5B2232C65BA",43.5565217391304,10.9489976344451,"2014-10-01","2015-03-31",115,182
"1122AA615C18B19236BE2B5C75AFF8BA",42.7657657657658,22.3541555847738,"2014-10-01","2015-03-31",111,182
"146CFA6762B0B55A2C7BDA1CEF924052",42.5816326530612,21.9980896402944,"2014-10-01","2015-03-31",98,182
"EB7134AF8ECFE8B58F24088310796CF7",41.5535714285714,19.3729816900347,"2014-10-01","2015-03-31",112,182
"6C542304D663DB29863836FE13DD3599",39.5454545454545,35.1240579007285,"2014-10-02","2015-03-31",99,181
"6F7A17FB011C6FA68C486A5074A05F6F",39.0093457943925,22.7320301524302,"2014-10-13","2015-03-31",107,170
"8FC8D946AFBA2CACBB6099FE519E266D",38.9777777777778,18.8516805241829,"2014-11-05","2015-03-31",45,147
"E8E8646C45EF3CBED90485CB3795F1C6",38.1875,19.5207705757475,"2014-10-11","2015-03-28",32,169
"BA9597228E0179EC67D6E2E2B219EE26",37.9237288135593,35.4577289634019,"2014-10-01","2015-03-31",118,182
"7D77C10C5EBCBEDBB236E9020C98D221",37.6785714285714,22.2278663467289,"2015-01-15","2015-03-27",28,72
"6AA8145AAFE144765982AFC930F23C97",35.9619047619048,51.5848673042641,"2014-10-01","2015-03-31",105,182
"F223850C4C617794501B02D4A6258903",35.75,23.4431937528429,"2014-10-01","2014-10-06",4,6
"42B093AEE843EF8961E27D34A4E044F1",31.5,6.36396103067893,"2015-02-01","2015-02-28",2,28
"7BC73FA15ADFFCD764C296B8CB7B895E",29.2767857142857,41.0739192630718,"2014-10-01","2015-03-31",112,182
