"cty","dist","vil","vil.pay","fam.num","t.pay","med.pay","Q1.pay","Q3.pay","sd.pay","var.pay"
"臺北市","大同區","蓬萊里",1030,1660,1709687,631,360,1196,1544.17,149.93
"臺北市","大同區","民權里",1156,2036,2353843,720,397,1320,2713.3,234.69
"臺北市","大同區","文昌里",818,6,4907,506,328,873,868.7,106.23
"臺北市","大同區","延平里",1238,1283,1587993,602,329,1128,6630.28,535.69
"臺北市","大同區","永樂里",1477,1962,2898509,655,350,1210,7283.21,493
"臺北市","大同區","保安里",1074,1267,1361300,613,342,1071,3898.25,362.82
"臺北市","中山區","聚盛里",1004,1342,1347139,600,333,1050,2904.71,289.36
"臺北市","中山區","大佳里",810,282,228552,511,304,938,944.98,116.6
"臺北市","中山區","恆安里",1188,1551,1841891,664,369,1217,4678.96,394
"臺北市","中山區","集英里",1190,2248,2675409,671,359,1247,4061.66,341.28
"臺北市","中山區","正守里",1177,1225,1441441,710,373,1336,1833.04,155.78
"臺北市","中山區","正義里",928,1631,1514022,608,336,1102,1250.38,134.7
"臺北市","中山區","新生里",894,1621,1449645,607,347,1093,977.07,109.26
"臺北市","中山區","松江里",3136,2365,7416451,735,385,1424,57442.98,1831.77
"臺北市","中山區","江山里",1195,2810,3358247,730,392,1403,1909.87,159.81
"臺北市","中山區","中山里",988,2167,2141402,630,342,1145,2131.63,215.71
"臺北市","中山區","成功里",2763,2455,6783925,1176,541,2547,8521.59,308.38
"臺北市","中山區","下埤里",1124,2841,3194355,703,391,1258,2210.82,196.63
"臺北市","中山區","中原里",1160,1834,2127986,708,377,1336,2614.66,225.34
"臺北市","中山區","新庄里",882,1611,1420485,607,354,1045,1465.51,166.21
"臺北市","中山區","江寧里",1297,2625,3403558,753,383,1521,2160.74,166.65
"臺北市","中山區","復華里",1567,1736,2721075,791,411,1701,3230.38,206.09
"臺北市","中山區","興亞里",1358,2053,2788207,715,377,1440,3510.07,258.45
"臺北市","中山區","朱園里",1798,1722,3096991,799,418,1511,5897.72,327.93
"臺北市","中山區","中央里",1084,1286,1394436,706,368,1281,1525.51,140.69
"臺北市","中山區","新福里",938,1739,1631715,625,341,1114,2320.22,247.28
"臺北市","中山區","中庄里",940,1706,1603277,623,334,1128,1391.21,148.03
"臺北市","中山區","康樂里",1221,941,1149177,692,344,1292,3620.66,296.48
"臺北市","中山區","行政里",1002,1939,1943525,655,346,1158,2513,250.72
"臺北市","中山區","聚葉里",1032,1309,1350597,658,361,1209,1749.76,169.59
"臺北市","中山區","正得里",1428,1373,1960397,674,361,1358,5857.1,410.21
"臺北市","中山區","中吉里",1459,2048,2987808,774,401,1522,3499.45,239.87
"臺北市","中山區","新喜里",1007,1820,1832776,623,366,1153,3099.03,307.74
"臺北市","中山區","埤頭里",992,1291,1281243,672,380,1207,1058.4,106.65
"臺北市","中山區","大直里",1232,3341,4117713,768,415,1520,1861.81,151.06
"臺北市","中山區","劍潭里",1115,1158,1291457,730,404,1297,1834.92,164.53
"臺北市","中山區","力行里",1885,2313,4359659,807,395,1614,5243.92,278.21
"臺北市","中山區","朱崙里",1275,1100,1402279,721,387,1441,1855.23,145.53
"臺北市","中山區","晴光里",1401,1830,2564404,678,361,1289,6633.91,473.41
"臺北市","中山區","永安里",2138,3477,7434378,1028,472,2223,4567.1,213.6
"臺北市","中山區","圓山里",1136,1457,1654615,611,342,1083,4967.38,437.41
"臺北市","中山區","民安里",1234,1735,2140329,662,352,1324,2504.9,203.05
"臺北市","中山區","行孝里",906,1344,1217605,647,377,1135,959.38,105.9
"臺北市","中山區","龍洲里",1219,1854,2260855,727,386,1435,2040.57,167.34
"臺北市","中山區","行仁里",876,2620,2295885,630,360,1098,953.78,108.84
"臺北市","中山區","朱馥里",1095,2056,2251199,667,378,1256,1744.25,159.3
"臺北市","中山區","金泰里",2300,2510,5773908,1028,515,1995,9867.6,428.96
"臺北市","中山區","北安里",1210,933,1129212,763,427,1457,1784.79,147.47
"臺北市","文山區","景美里",1197,1731,2072151,788,426,1488,1376.65,115
"臺北市","文山區","景行里",1078,2023,2180669,751,397,1351,1243.06,115.32
"臺北市","文山區","景仁里",1150,1607,1847668,777,414,1510,1289.62,112.16
"臺北市","文山區","萬有里",1181,1811,2138233,791,418,1532,1401.75,118.72
"臺北市","文山區","景慶里",1028,2043,2099987,711,393,1288,1182.77,115.07
"臺北市","文山區","萬隆里",1158,2509,2905600,796,422,1590,1166.21,100.7
"臺北市","文山區","萬祥里",1048,1574,1649223,758,409,1444,993.84,94.85
"臺北市","文山區","萬年里",1328,1845,2451064,757,388,1471,6959.71,523.88
"臺北市","文山區","萬盛里",1107,1635,1810426,775,412,1468,1171.63,105.81
"臺北市","文山區","萬和里",1206,978,1179500,827,431,1444,2024.3,167.85
"臺北市","文山區","興福里",1030,1893,1949209,718,407,1356,1032.71,100.29
